"Dolphin.ID","cyc.strength","repro.juvenile.strength","lact.strength","preg.strength","repro.unknown.strength"
"RHO",1.13781248685112,1.21419592566652,1.13217557992001,1.02819259251047,1.9551678471582
"RIP",0.369226282133809,0.435580346970363,0.454401847787111,0.829639127462476,1.12277900123885
"RKS",0,1.90313933590918,0,0,1.70363880654396
"RKT",0,1.78887195665657,0,0,2.59790154952464
"RLF",0,0.843077706893496,1.47318849732643,0,1.82099539588635
"RPC",0,0,0,0,0
"RSH",0.246212121212121,0,0.272968881904304,0.227264769544181,0.381350589924444
"RSO",0.749607757042158,0.931282820361679,0.873296782834039,2.22413530796871,1.83781045497004
"SCA",0,0,0,0,0
"SCT",0.558647365676756,0.291666666666667,0.446626369846184,1.0046496657604,0.787071817427213
"SEM",0,1.45291249661526,0,0,0
"SEQ",0,0.447171755066923,0.037037037037037,0,1.11912108025383
"SHB",0,0.544009879009879,0.211111111111111,0,0.291666666666667
"SHC",0.180585838889034,0.685343505824442,0.762437478987746,0.562965658406125,0.946161663507884
"SKF",0,0.964631153564107,2.43197871517615,1.89321939319549,2.4045799220782
"SOG",0.356643460635398,0.277190431860687,0,0,0
"SON",0,1.26358326999463,0,0,1.5572594601265
"SOP",0,0.305357142857143,0.526578628629712,0.314423002402542,0.482529940267544
"SPE",0.661800421800422,0.0298507462686567,0,0.0934782608695652,0
"SQE",0,2.19065727873777,1.78337725076856,0,0
"STV",0,0,1.32125603864734,0,0.605313673043154
"SUM",0,0.547405502175651,1.22619047619048,0.130252100840336,0.468694277236233
"SUP",0.277777777777778,0.421264022900645,0.0723370429252782,0.687814407814408,0.423931097365632
"SUR",0,0.0254607935020306,0,0,0
"SVD",0,0,1.05177045177045,0.142857142857143,0
"TAF",0,0.257575757575758,0,0.360575265538287,0
"TAL",0.0889328063241107,0.0432773109243697,0,0.0476190476190476,0
"TAM",0.175405365233074,0,0.238966982674076,0.462009084287433,0
"TAW",0,1.36839254637642,2.30356662105891,1.13528774420421,0.852537604918786
"TDL",0,0.945670995670996,0.69537037037037,1.20535816665848,0.808396490270635
"TDO",0,0.130681834985526,0,0,0.420929046837238
"TOG",0,0,1.17004476085043,0.7,1.96566572617269
"TOR",0,0,0.401094276094276,0,0
"TST",0,0,0,0,0
"TTM",0.741258354893914,1.0024666486908,0.342549626940342,0.768304203532639,0.698503804506877
"TUF",0,1.82477896725441,0.0813251955522817,1.11924476386183,0.222093643686782
"TUK",0.313698997063947,0.202013798447398,0,1.62839436094379,1.25373467962805
"TUL",0.828866400770426,0.446663025084078,0.9271922607778,1.06607275743211,0.932216510801429
"TUN",0,0,0.151805985552116,0.136601307189542,0.328768409317608
"TUX",0,2.02542397528118,0,0,1.682372699764
"UVE",0,0,0.97800691541711,0.39465087268906,0.167427840701498
"VBE",0.799222740162082,0.462933543630743,0.670051220734013,0.887951203867774,0.726248161192371
"VLT",0,2.87455094197595,1.14570707070707,0,1.89689550874746
"WAC",0,0,0,0,0
"WES",0.308333333333333,0,1.975,0,0.0526315789473684
"WHE",0.179411764705882,0.315237530164935,0.385563866408079,0.899664335742328,0.488870163761468
"WHL",0.0871212121212121,0.111111111111111,0,0.441941391941392,0.162955465587045
"WHN",0,0.659956667844757,0.234387023444305,0.784771753764867,0.796038813244031
"WHO",1.17859659310102,0.0996138327168696,0.46433306604315,0.449728034894619,0.945626166238352
"WHT",0.594155844155844,0,0,0.666666666666667,0
"WHZ",0,1.14532326166546,0,0,0
"WIY",0,1.90710973406595,0,0,2.52292281099655
"WLV",0.627502231370974,0.333333333333333,2.27946089203594,1.6702232648141,0.733838530190214
"WNG",0.111111111111111,0.171100262229294,0.45784135132772,0.342601053916843,0
"WOF",1.165219457775,1.63326104852815,2.72061111253464,1.44154700741969,2.72579738183412
"WON",0,0.312791783380019,0,0,0.772191230765085
"WOP",0,0.867340374885132,0.225490196078431,0.794593273594485,0.242156862745098
"WPY",0,0.544235188902372,0,0,0.58703200507407
"ZEP",1.39222092810508,2.01035558528607,0.894793460564176,2.1572761697415,2.25182524857908
"ZIP",1.2556098461044,0.163135231327534,1.02856440181179,1.669215669487,1.60834804774511
