"Combined.ID","Dolphin.ID","Sightings","entrydate","departdate","genotyped","Repro.ID","Age.ID","ReproCat","kin.strength","tot.strength","norm.kin"
"BOR.juvenile.juvenile","BOR",30,2016-10-14,2024-11-30,"Y","BOR.juvenile","BOR.juvenile","juvenile",0.506060606060606,0.852579780265202,0.593563931229042
"BOR.unknown.adult","BOR",30,2016-10-14,2024-11-30,"Y","BOR.unknown","BOR.adult","unknown",0.238095238095238,1.17543219998685,0.202559737684489
"BRE.lact.adult","BRE",66,1981-11-01,2024-11-30,"Y","BRE.lact","BRE.adult","lact",0.179860349937076,0.371028791105518,0.484761167458633
"BRE.preg.adult","BRE",66,1981-11-01,2024-11-30,"Y","BRE.preg","BRE.adult","preg",0.0881859410430839,0.236518626534944,0.372849877978025
"BRE.unknown.elder","BRE",66,1981-11-01,2024-11-30,"Y","BRE.unknown","BRE.elder","unknown",0.413614163614164,2.24088750101881,0.184576050081102
"BRP.juvenile.juvenile","BRP",11,2014-11-15,2024-11-30,"Y","BRP.juvenile","BRP.juvenile","juvenile",0.153846153846154,3.42474968205025,0.0449218682032413
"BSS.cyc.adult","BSS",299,2002-12-12,2019-07-26,"Y","BSS.cyc","BSS.adult","cyc",0.126834235154533,1.27353937300046,0.0995919229852405
"BSS.juvenile.juvenile","BSS",299,2002-12-12,2019-07-26,"Y","BSS.juvenile","BSS.juvenile","juvenile",0.232977893532351,1.61571181697033,0.144195203058684
"BSS.lact.adult","BSS",299,2002-12-12,2019-07-26,"Y","BSS.lact","BSS.adult","lact",0.193132879179391,1.58401881513755,0.121925874449048
"BSS.preg.adult","BSS",299,2002-12-12,2019-07-26,"Y","BSS.preg","BSS.adult","preg",0.292172736727097,2.72610532901147,0.107175879676316
"BSS.unknown.adult","BSS",299,2002-12-12,2019-07-26,"Y","BSS.unknown","BSS.adult","unknown",0.100488607202787,1.62455214495696,0.0618561906521315
"BUT.juvenile.juvenile","BUT",23,2006-11-01,2024-11-30,"Y","BUT.juvenile","BUT.juvenile","juvenile",0.0952380952380952,0.529480665675918,0.179870770383121
"BUT.lact.adult","BUT",23,2006-11-01,2024-11-30,"Y","BUT.lact","BUT.adult","lact",0.290277777777778,2.16269120379895,0.13422063088243
"BUT.unknown.adult","BUT",23,2006-11-01,2024-11-30,"Y","BUT.unknown","BUT.adult","unknown",0.166666666666667,0.361455108359133,0.461099214846538
"BYT.cyc.adult","BYT",344,1976-11-01,2024-11-30,"Y","BYT.cyc","BYT.adult","cyc",0.00961538461538462,0.142932747802678,0.0672720895890064
"BYT.cyc.elder","BYT",344,1976-11-01,2024-11-30,"Y","BYT.cyc","BYT.elder","cyc",0.0434782608695652,0.0949458306561005,0.45792701553211
"BYT.lact.adult","BYT",344,1976-11-01,2024-11-30,"Y","BYT.lact","BYT.adult","lact",0.0606232847612158,0.148133007211413,0.409248997927216
"BYT.unknown.adult","BYT",344,1976-11-01,2024-11-30,"Y","BYT.unknown","BYT.adult","unknown",0.0119047619047619,0.0965985268686249,0.12323958025729
"BYT.unknown.elder","BYT",344,1976-11-01,2024-11-30,"Y","BYT.unknown","BYT.elder","unknown",0.0456728500448474,0.892158337992634,0.0511936593538002
"CCU.juvenile.juvenile","CCU",16,2015-11-15,2019-05-01,"Y","CCU.juvenile","CCU.juvenile","juvenile",0.180147058823529,1.14328899358681,0.157569135917559
"CDB.juvenile.juvenile","CDB",40,2012-01-15,2024-11-30,"Y","CDB.juvenile","CDB.juvenile","juvenile",0.187042124542125,0.884973827073093,0.211353283927883
"CDB.lact.adult","CDB",40,2012-01-15,2024-11-30,"Y","CDB.lact","CDB.adult","lact",0.1625,0.439750340695719,0.369527854697992
"CHL.juvenile.juvenile","CHL",35,2004-05-01,2017-05-01,"Y","CHL.juvenile","CHL.juvenile","juvenile",0.186813186813187,0.797870179813012,0.234139828182284
"CHL.lact.adult","CHL",35,2004-05-01,2017-05-01,"Y","CHL.lact","CHL.adult","lact",0.255238095238095,0.841125818625819,0.30344817574984
"CHT.unknown.adult","CHT",33,1997-11-01,2024-11-30,"Y","CHT.unknown","CHT.adult","unknown",0.0588235294117647,1.02910891360916,0.0571596734163601
"CLA.cyc.adult","CLA",49,1997-11-01,2024-11-30,"Y","CLA.cyc","CLA.adult","cyc",0.1,0.2,0.5
"CLA.preg.adult","CLA",49,1997-11-01,2024-11-30,"Y","CLA.preg","CLA.adult","preg",0.384615384615385,0.505028917899747,0.761571013032039
"CLA.unknown.adult","CLA",49,1997-11-01,2024-11-30,"Y","CLA.unknown","CLA.adult","unknown",0.21399390114327,0.506026868176237,0.422890392983522
"CLO.juvenile.juvenile","CLO",118,1996-11-01,2024-11-30,"Y","CLO.juvenile","CLO.juvenile","juvenile",0.156916564667483,1.22364375582367,0.128237131044613
"CLO.lact.adult","CLO",118,1996-11-01,2024-11-30,"Y","CLO.lact","CLO.adult","lact",1.30030434984949,3.38225681530179,0.384448733746867
"CLO.preg.adult","CLO",118,1996-11-01,2024-11-30,"Y","CLO.preg","CLO.adult","preg",0.499350636078953,1.25175451973107,0.398920577643478
"CLO.unknown.adult","CLO",118,1996-11-01,2024-11-30,"Y","CLO.unknown","CLO.adult","unknown",0.695541346051422,2.305476818839,0.301690886834284
"CLO.unknown.elder","CLO",118,1996-11-01,2024-11-30,"Y","CLO.unknown","CLO.elder","unknown",1.70710668545421,3.0554105921116,0.558715967622022
"CLV.cyc.adult","CLV",50,2000-11-01,2024-11-30,"Y","CLV.cyc","CLV.adult","cyc",0.207575757575758,2.57777523592519,0.0805251577728252
"CLV.juvenile.juvenile","CLV",50,2000-11-01,2024-11-30,"Y","CLV.juvenile","CLV.juvenile","juvenile",0.261418826388676,1.61221079302437,0.162149284398646
"CLV.unknown.adult","CLV",50,2000-11-01,2024-11-30,"Y","CLV.unknown","CLV.adult","unknown",0.595754647928561,1.82603192475762,0.326256425121176
"COI.cyc.adult","COI",73,2003-11-01,2024-11-30,"Y","COI.cyc","COI.adult","cyc",0.16,0.415386010011357,0.385183891955402
"COI.lact.adult","COI",73,2003-11-01,2024-11-30,"Y","COI.lact","COI.adult","lact",0.198831908831909,1.22059161005342,0.162897980941559
"COI.preg.adult","COI",73,2003-11-01,2024-11-30,"Y","COI.preg","COI.adult","preg",0.0434782608695652,0.473167737825979,0.0918876275659259
"COI.unknown.adult","COI",73,2003-11-01,2024-11-30,"Y","COI.unknown","COI.adult","unknown",0.0657004830917874,1.04381305739282,0.0629427679855726
"COK.cyc.adult","COK",31,2011-01-21,2024-11-30,"Y","COK.cyc","COK.adult","cyc",0.0833333333333333,0.591693905509695,0.140838586568757
"COK.juvenile.juvenile","COK",31,2011-01-21,2024-11-30,"Y","COK.juvenile","COK.juvenile","juvenile",0.177631578947368,0.36028672573295,0.493028375069893
"COP.cyc.adult","COP",61,2005-11-01,2024-11-30,"Y","COP.cyc","COP.adult","cyc",0.0909090909090909,2.49104771387263,0.036494319399351
"COP.juvenile.juvenile","COP",61,2005-11-01,2024-11-30,"Y","COP.juvenile","COP.juvenile","juvenile",0.367790391010205,2.07370691623336,0.177358906473752
"COP.lact.adult","COP",61,2005-11-01,2024-11-30,"Y","COP.lact","COP.adult","lact",0.0666666666666667,1.07049658256562,0.0622763937339147
