"Observation.ID","Observation.Date","Dolphin.ID"
26310,"2019-11-16","AGA"
26557,"2022-04-11","AGA"
26631,"2022-05-17","AGA"
26730,"2022-05-19","AGA"
26794,"2022-06-07","AGA"
26848,"2022-06-19","AGA"
26927,"2022-07-08","AGA"
27038,"2022-07-27","AGA"
27427,"2022-09-08","AGA"
27174,"2022-11-10","AGA"
27834,"2023-06-11","AGA"
27890,"2023-06-21","AGA"
27655,"2023-07-17","AGA"
28809,"2024-07-16","AGA"
28811,"2024-07-17","AGA"
28878,"2024-11-30","AGA"
26755,"2022-05-27","AGB"
26834,"2022-06-16","AGB"
27759,"2023-05-09","AGB"
27614,"2023-07-05","AGB"
28686,"2024-06-06","AGB"
1099,"1989-06-23","AHA"
1112,"1989-06-24","AHA"
1729,"1990-09-03","AHA"
2142,"1991-04-22","AHA"
2151,"1991-04-27","AHA"
2189,"1991-05-15","AHA"
2249,"1991-06-13","AHA"
2336,"1991-07-28","AHA"
2380,"1991-08-10","AHA"
2552,"1991-09-28","AHA"
2584,"1991-10-02","AHA"
2604,"1991-10-09","AHA"
2821,"1992-06-26","AHA"
2972,"1992-09-21","AHA"
2992,"1992-10-20","AHA"
3032,"1992-11-03","AHA"
3038,"1992-11-04","AHA"
3128,"1993-04-09","AHA"
3243,"1993-07-02","AHA"
3403,"1993-08-08","AHA"
2116,"1991-04-04","AJA"
3072,"1992-12-28","AJA"
3115,"1993-03-22","AJA"
3313,"1993-07-26","AJA"
3793,"1994-05-15","AJA"
4002,"1994-08-19","AJA"
4020,"1994-08-26","AJA"
4050,"1994-09-09","AJA"
4183,"1995-08-04","AJA"
4243,"1995-08-12","AJA"
4269,"1995-08-16","AJA"
4301,"1995-08-23","AJA"
4309,"1995-08-27","AJA"
4335,"1995-09-02","AJA"
4343,"1995-09-04","AJA"
4367,"1995-09-18","AJA"
4376,"1995-09-22","AJA"
4386,"1995-09-24","AJA"
4412,"1996-06-14","AJA"
4533,"1996-07-07","AJA"
4540,"1996-07-11","AJA"
4576,"1996-07-19","AJA"
4590,"1996-07-21","AJA"
4603,"1996-07-23","AJA"
28657,"1996-08-05","AJA"
28650,"1996-08-26","AJA"
4766,"1996-09-03","AJA"
4832,"1996-09-18","AJA"
4850,"1996-09-20","AJA"
4874,"1996-10-01","AJA"
4901,"1996-10-06","AJA"
4910,"1996-10-07","AJA"
4928,"1996-10-09","AJA"
4944,"1996-10-21","AJA"
5082,"1997-01-16","AJA"
5184,"1997-04-19","AJA"
5204,"1997-04-25","AJA"
5340,"1997-06-25","AJA"
5375,"1997-07-04","AJA"
5390,"1997-07-07","AJA"
5418,"1997-07-13","AJA"
5504,"1997-07-23","AJA"
5751,"1997-08-15","AJA"
5784,"1997-08-25","AJA"
5813,"1997-09-01","AJA"
5814,"1997-09-07","AJA"
5817,"1997-09-08","AJA"
5843,"1997-09-11","AJA"
5845,"1997-09-16","AJA"
5880,"1997-10-01","AJA"
5896,"1997-10-05","AJA"
5913,"1997-10-06","AJA"
6087,"1997-12-22","AJA"
6392,"1998-05-30","AJA"
7278,"1998-12-04","AJA"
7906,"1999-07-12","AJA"
8206,"1999-09-09","AJA"
8344,"1999-10-04","AJA"
8817,"2000-09-07","AJA"
9193,"2001-05-22","AJA"
9345,"2001-06-28","AJA"
9378,"2001-06-29","AJA"
9435,"2001-07-01","AJA"
9887,"2001-08-13","AJA"
9938,"2001-08-22","AJA"
10084,"2001-09-09","AJA"
10130,"2001-09-20","AJA"
10204,"2001-09-27","AJA"
10864,"2002-07-16","AJA"
11263,"2002-08-23","AJA"
11600,"2002-10-19","AJA"
11666,"2002-11-04","AJA"
11748,"2002-12-04","AJA"
11913,"2003-03-09","AJA"
12518,"2003-07-19","AJA"
12807,"2003-09-02","AJA"
12932,"2003-09-27","AJA"
12944,"2003-09-28","AJA"
12964,"2003-10-02","AJA"
13082,"2003-10-12","AJA"
13150,"2003-11-11","AJA"
14227,"2004-09-17","AJA"
14406,"2004-10-05","AJA"
15195,"2005-08-21","AJA"
15201,"2005-08-22","AJA"
15269,"2005-09-07","AJA"
15569,"2006-06-06","AJA"
15617,"2006-06-18","AJA"
15814,"2006-07-27","AJA"
15967,"2006-08-14","AJA"
15972,"2006-08-17","AJA"
