"Age.ID","Combined.ID","Dolphin.ID","Sightings","entrydate","departdate","genotyped","Repro.ID","AgeCat","AgeSightings","tot.strength","age.strength","norm.age","avg.tot.age.str","norm.age.indiv","ReproCat"
"CLV.juvenile","CLV.juvenile.juvenile","CLV",50,2000-11-01,2024-11-30,"Y","CLV.juvenile","juvenile",24,1.61221079302437,1.15920995642604,0.719018853763819,1.19461581467752,0.970362138340654,"juvenile"
"COI.juvenile","COI.juvenile.juvenile","COI",73,2003-11-01,2024-11-30,"Y","COI.juvenile","juvenile",11,0.85743356116714,0.590734149838047,0.68895617875505,0.842590256323528,0.701093022859765,"juvenile"
"COK.adult","COK.cyc.adult","COK",31,2011-01-21,2024-11-30,"Y","COK.cyc","adult",13,0.591693905509695,0.251876772465008,0.425687623481666,0.250769492697793,1.00441552820202,"cyc"
"COK.juvenile","COK.juvenile.juvenile","COK",31,2011-01-21,2024-11-30,"Y","COK.juvenile","juvenile",11,0.36028672573295,0.249662212930579,0.692954236442317,0.250769492697793,0.995584471797975,"juvenile"
"COP.juvenile","COP.juvenile.juvenile","COP",61,2005-11-01,2024-11-30,"Y","COP.juvenile","juvenile",16,2.07370691623336,0.979713473490792,0.472445486785724,1.4045631546205,0.697521838208481,"juvenile"
"CRP.juvenile","CRP.juvenile.juvenile","CRP",35,2002-02-01,2024-11-30,"Y","CRP.juvenile","juvenile",10,0.383193536039836,0.195628716478967,0.510521963655019,0.582433969363658,0.335881364702513,"juvenile"
"CRV.juvenile","CRV.juvenile.juvenile","CRV",145,1998-11-01,2024-11-30,"Y","CRV.juvenile","juvenile",58,1.12703845818566,0.926180381690892,0.821782411207054,1.27895345906625,0.724170512324264,"juvenile"
"CSK.juvenile","CSK.juvenile.juvenile","CSK",66,1999-11-01,2014-05-01,"Y","CSK.juvenile","juvenile",30,0.93542423863028,0.720418416937849,0.770151538934614,0.796111505010067,0.904921499569007,"juvenile"
"CVO.juvenile","CVO.juvenile.juvenile","CVO",23,2014-02-01,2024-11-30,"Y","CVO.juvenile","juvenile",12,1.23104185116569,0.941358933464197,0.764684752653057,0.941358933464197,1,"juvenile"
"CYR.adult","CYR.preg.adult","CYR",56,1993-11-01,2024-11-30,"Y","CYR.preg","adult",42,0.337679649666171,0.635901754573252,1.88315095446795,0.744571035292415,0.854051157554785,"preg"
"DCH.juvenile","DCH.juvenile.juvenile","DCH",64,2015-02-15,2024-11-30,"Y","DCH.juvenile","juvenile",43,2.84223156315596,1.98480054791447,0.698324715566309,1.39912374360283,1.41860257678388,"juvenile"
"DCK.juvenile","DCK.juvenile.juvenile","DCK",16,2021-11-24,2024-11-30,"Y","DCK.juvenile","juvenile",16,0.93684724398401,0.672779481095911,0.718131462109947,0.672779481095911,1,"juvenile"
"DEM.juvenile","DEM.juvenile.juvenile","DEM",342,1990-11-01,2024-11-30,"Y","DEM.juvenile","juvenile",37,0.141141552033902,0.092820003496232,0.657637684711989,0.317022064189852,0.292787203103459,"juvenile"
"DJY.juvenile","DJY.juvenile.juvenile","DJY",19,2012-11-01,2024-11-30,"Y","DJY.juvenile","juvenile",10,3.68477703029267,1.71080982754998,0.464291275560327,1.71080982754998,1,"juvenile"
"DMK.adult","DMK.lact.adult","DMK",26,1995-11-01,2024-11-30,"Y","DMK.lact","adult",14,1.35496333893092,0.723074886919151,0.533649041375293,0.723074886919151,1,"lact"
"DOD.juvenile","DOD.juvenile.juvenile","DOD",209,2003-10-15,2024-11-30,"Y","DOD.juvenile","juvenile",55,0.425350528547844,0.256033011890316,0.601934157139567,0.570046862900795,0.449143795980986,"juvenile"
"DOP.juvenile","DOP.juvenile.juvenile","DOP",22,2013-11-01,2024-11-30,"Y","DOP.juvenile","juvenile",12,1.32235042099006,1.08604818027715,0.821301345723482,0.780032181519731,1.39231201738524,"juvenile"
"DOU.juvenile","DOU.juvenile.juvenile","DOU",22,2021-11-19,2024-11-30,"Y","DOU.juvenile","juvenile",22,1.9855557687113,1.42229544005668,0.716321073660802,1.42229544005668,1,"juvenile"
"DOY.juvenile","DOY.juvenile.juvenile","DOY",23,2019-05-10,2024-11-30,"Y","DOY.juvenile","juvenile",23,3.939493749675,2.960387073983,0.751463833196139,2.960387073983,1,"juvenile"
"DUC.juvenile","DUC.juvenile.juvenile","DUC",48,1997-12-22,2024-11-30,"Y","DUC.juvenile","juvenile",13,1.13572882958147,0.820181278713441,0.722162947132096,0.9853014233136,0.832416618211253,"juvenile"
"EDE.juvenile","EDE.juvenile.juvenile","EDE",337,2007-11-19,2024-11-30,"Y","EDE.juvenile","juvenile",108,2.18181772529589,1.52554832727818,0.699209796304725,2.27832134004249,0.669593134412604,"juvenile"
"EED.adult","EED.cyc.adult","EED",250,1978-11-01,2018-05-01,"Y","EED.cyc","adult",186,0.468583694147556,0.767847880026933,1.63865684960249,1.19897348295242,0.640421069310174,"cyc"
"EED.elder","EED.preg.elder","EED",250,1978-11-01,2018-05-01,"Y","EED.preg","elder",64,0.473126876432295,1.63009908587791,3.44537409958612,1.19897348295242,1.35957893068983,"preg"
"ENC.juvenile","ENC.juvenile.juvenile","ENC",32,2010-11-01,2024-11-30,"Y","ENC.juvenile","juvenile",19,0.965257797122786,0.749123364284425,0.776086312400056,0.687569998670931,1.08952305326363,"juvenile"
"FID.adult","FID.lact.adult","FID",53,1985-11-01,2024-11-30,"Y","FID.lact","adult",27,0.077231609489674,0.0979774828372227,1.26861894352108,0.18695589821944,0.524067353693338,"lact"
"FNT.juvenile","FNT.juvenile.juvenile","FNT",67,1993-11-01,2024-11-30,"Y","FNT.juvenile","juvenile",17,0.225560134142061,0.180232179322233,0.799042703214212,0.230095519003721,0.783292869424885,"juvenile"
