"Dolphin.ID","adult.strength","elder.strength","juvenile.strength"
"SUP",0,0,0.0555555555555556
"SUR",0,0,0.0254607935020306
"SVD",0,0,0
"TAF",0,0,0.166666666666667
"TAL",0,0,0.0432773109243697
"TAM",0,0.26324092855533,0
"TAW",0,0,0
"TDL",0,0,0.440909090909091
"TDO",0.100990675990676,0,0.0861990763648359
"TOG",0,0,0
"TOR",0,0,0
"TST",0,0,0
"TTM",0,0,0.324519825752593
"TUF",0,0,0.692044478019754
"TUK",0,0.295053261225828,0.115544324936645
"TUL",0,0,0.203703703703704
"TUN",0,0,0
"TUX",0.356344561235866,0,0.733688183570634
"UVE",0,0,0.032258064516129
"VBE",0,0,0.36566471076869
"VLT",0,0,1.24256237028352
"WAC",0,0,0
"WES",0,0,0
"WHE",0,0,0.14185622283557
"WHL",0,0,0
"WHN",0,0,0.293357399020238
"WHO",0,0,0.0344495970358833
"WHT",0,0,0
"WHZ",0,0,0.415849688284259
"WIY",0.831833096328756,0,0.514029693814868
"WLV",0,0,0.166666666666667
"WNG",0,0.359085933223864,0.149934832192897
"WOF",0,0,0.840224452657317
"WON",0.45289298515105,0,0.253968253968254
"WOP",0,0,0.423913043478261
"WPY",0.288931056293485,0,0.202284878863826
"ZEP",0,0,1.01100434731746
"ZIP",0,0,0.136934357965088
