"Dolphin1","Dolphin2","IDPair","DyadML","Closekin"
"ALG","GRG","ALG.GRG",NA,"N"
"ALG","GRV","ALG.GRV",NA,"N"
"ALG","GTL","ALG.GTL",NA,"N"
"ALG","GUA","ALG.GUA",NA,"N"
"ALG","GUM","ALG.GUM",NA,"N"
"ALG","HAB","ALG.HAB",NA,"N"
"ALG","HAL","ALG.HAL",NA,"N"
"ALG","HAM","ALG.HAM",NA,"N"
"ALG","HAT","ALG.HAT",NA,"N"
"ALG","HBB","ALG.HBB",NA,"N"
"ALG","HEA","ALG.HEA",NA,"N"
"ALG","HFF","ALG.HFF",NA,"N"
"ALG","HIC","ALG.HIC",NA,"N"
"ALG","HLL","ALG.HLL",NA,"N"
"ALG","HNK","ALG.HNK",NA,"N"
"ALG","HOH","ALG.HOH",NA,"N"
"ALG","HOL","ALG.HOL",NA,"N"
"ALG","HOW","ALG.HOW",NA,"N"
"ALG","HPP","ALG.HPP",NA,"N"
"ALG","HRA","ALG.HRA",NA,"N"
"ALG","HRS","ALG.HRS",NA,"N"
"ALG","HUB","ALG.HUB",NA,"N"
"ALG","HUL","ALG.HUL",NA,"N"
"ALG","HYM","ALG.HYM",NA,"N"
"ALG","HYR","ALG.HYR",NA,"N"
"ALG","IBL","ALG.IBL",NA,"N"
"ALG","IBX","ALG.IBX",NA,"N"
"ALG","IND","ALG.IND",NA,"N"
"ALG","ITG","ALG.ITG",NA,"N"
"ALG","JAB","ALG.JAB",NA,"N"
"ALG","JAC","ALG.JAC",NA,"N"
"ALG","JAG","ALG.JAG",NA,"N"
"ALG","JAH","ALG.JAH",NA,"N"
"ALG","JAS","ALG.JAS",NA,"N"
"ALG","JCR","ALG.JCR",NA,"N"
"ALG","JEL","ALG.JEL",NA,"N"
"ALG","JFR","ALG.JFR",NA,"N"
"ALG","JIT","ALG.JIT",NA,"N"
"ALG","JMC","ALG.JMC",NA,"N"
"ALG","JMY","ALG.JMY",NA,"N"
"ALG","JND","ALG.JND",NA,"N"
"ALG","JNG","ALG.JNG",NA,"N"
"ALG","JNI","ALG.JNI",NA,"N"
"ALG","JOK","ALG.JOK",NA,"N"
"ALG","JOL","ALG.JOL",NA,"N"
"ALG","JOY","ALG.JOY",NA,"N"
"ALG","JUI","ALG.JUI",NA,"N"
"ALG","JUM","ALG.JUM",NA,"N"
"ALG","KEA","ALG.KEA",NA,"N"
"ALG","KES","ALG.KES",NA,"N"
"ALG","KIT","ALG.KIT",NA,"N"
"ALG","KIY","ALG.KIY",NA,"N"
"ALG","KNG","ALG.KNG",NA,"N"
"ALG","KOA","ALG.KOA",NA,"N"
"ALG","KST","ALG.KST",NA,"N"
"ALG","KWA","ALG.KWA",NA,"N"
"ALG","KWI","ALG.KWI",NA,"N"
"ALG","KYD","ALG.KYD",NA,"N"
"ALG","LAD","ALG.LAD",NA,"N"
"ALG","LAS","ALG.LAS",NA,"N"
"ALG","LAU","ALG.LAU",NA,"N"
"ALG","LDO","ALG.LDO",NA,"N"
"ALG","LEN","ALG.LEN",NA,"N"
"ALG","LEV","ALG.LEV",NA,"N"
"ALG","LIC","ALG.LIC",NA,"N"
"ALG","LIF","ALG.LIF",NA,"N"
"ALG","LIT","ALG.LIT",NA,"N"
"ALG","LLA","ALG.LLA",NA,"N"
"ALG","LLO","ALG.LLO",NA,"N"
"ALG","LNS","ALG.LNS",NA,"N"
"ALG","LOO","ALG.LOO",NA,"N"
"ALG","LYR","ALG.LYR",NA,"N"
"ALG","MDC","ALG.MDC",NA,"N"
"ALG","MDH","ALG.MDH",NA,"N"
"ALG","MEO","ALG.MEO",NA,"N"
"ALG","MER","ALG.MER",NA,"N"
"ALG","MIN","ALG.MIN",NA,"N"
"ALG","MIS","ALG.MIS",NA,"N"
"ALG","MNG","ALG.MNG",NA,"N"
"ALG","MNM","ALG.MNM",NA,"N"
"ALG","MNV","ALG.MNV",NA,"N"
"ALG","MOO","ALG.MOO",NA,"N"
"ALG","MOU","ALG.MOU",NA,"N"
"ALG","MOZ","ALG.MOZ",NA,"N"
"ALG","MRA","ALG.MRA",NA,"N"
"ALG","MSC","ALG.MSC",NA,"N"
"ALG","MTS","ALG.MTS",NA,"N"
"ALG","MUN","ALG.MUN",NA,"N"
"ALG","MUR","ALG.MUR",NA,"N"
"ALG","MYS","ALG.MYS",NA,"N"
"ALG","NET","ALG.NET",NA,"N"
"ALG","NEV","ALG.NEV",NA,"N"
"ALG","NIB","ALG.NIB",NA,"N"
"ALG","NIC","ALG.NIC",NA,"N"
"ALG","NIP","ALG.NIP",NA,"N"
"ALG","NIR","ALG.NIR",NA,"N"
"ALG","NIT","ALG.NIT",NA,"N"
"ALG","NOE","ALG.NOE",NA,"N"
"ALG","NOO","ALG.NOO",NA,"N"
"ALG","NUD","ALG.NUD",NA,"N"
"ALG","NUM","ALG.NUM",NA,"N"
