"Dolphin.ID","Sightings","entrydate","departdate"
"HPP",23,2004-11-01,2024-11-30
"HRA",69,1977-11-01,2017-05-01
"HRS",70,2001-10-15,2024-11-30
"HUB",34,2011-12-01,2024-11-30
"HUL",110,1984-11-01,2008-05-01
"HYM",21,1967-11-01,1995-05-01
"HYR",46,2010-12-01,2024-11-30
"IBL",30,2003-11-01,2024-11-30
"IBX",78,1980-11-01,2024-11-30
"IND",88,1999-11-01,2024-11-30
"ITG",25,2015-10-21,2024-11-30
"JAB",15,1980-11-01,2008-05-01
"JAC",16,2016-03-01,2024-11-30
"JAG",43,1976-11-01,2009-05-01
"JAH",43,2012-11-01,2024-11-30
"JAS",216,1983-11-01,2020-05-01
"JCR",16,1989-11-01,2016-05-01
"JEL",14,1993-11-01,2009-05-01
"JFR",892,1982-11-01,2008-02-01
"JIT",10,2011-10-01,2024-11-30
"JMC",13,2011-11-01,2024-11-30
"JMY",74,2000-11-01,2024-11-30
"JND",27,2022-12-19,2024-11-30
"JNG",20,1993-11-01,2012-05-01
"JNI",61,1986-11-01,2019-05-01
"JOK",11,1990-11-01,2006-05-01
"JOL",12,1985-11-01,1994-05-01
"JOY",637,1983-12-25,2011-05-01
"JUI",111,2005-11-01,2024-11-30
"JUM",68,1989-11-01,2024-11-30
"KEA",15,1984-11-01,2007-05-01
"KES",15,1968-11-01,2006-05-01
"KIT",236,1993-11-01,2024-11-30
"KIY",515,2001-12-13,2024-11-30
"KNG",35,2000-11-01,2024-11-30
"KOA",33,2003-11-01,2024-11-30
"KST",12,1988-11-01,2016-05-01
"KWA",25,1991-11-01,2010-05-01
"KWI",134,1978-11-01,2014-05-01
"KYD",29,2000-11-01,2024-11-30
"LAD",16,1970-11-01,1994-05-01
"LAS",23,1976-11-01,2020-05-01
"LAU",141,1998-12-01,2008-05-01
"LDO",15,2013-12-15,2024-11-30
"LEN",168,2006-02-15,2021-05-01
"LEV",10,1992-11-01,2024-11-30
"LIC",630,1988-11-01,2024-11-30
"LIF",38,1991-11-01,2024-11-30
"LIT",154,1991-11-01,2024-11-30
"LLA",11,1998-11-01,2024-11-30
"LLO",10,1994-11-01,2024-11-30
"LNS",25,1982-11-01,2019-05-01
"LOO",29,2014-11-01,2024-11-30
"LYR",22,2011-11-01,2024-11-30
"MDC",10,1987-11-01,2014-05-01
"MDH",22,2004-11-01,2024-11-30
"MEO",18,1998-11-01,2024-11-30
"MER",17,1980-11-01,1989-05-01
"MIN",364,1969-11-01,2009-05-01
"MIS",21,1985-11-01,2024-11-30
"MNG",21,2000-11-01,2024-11-30
"MNM",11,1991-11-01,2010-05-01
"MNV",18,1987-11-01,2024-11-30
"MOO",86,1976-11-01,2017-05-01
"MOU",450,1995-09-29,2024-11-30
"MOZ",34,1981-11-01,2018-05-01
"MRA",21,1983-11-01,2016-05-01
"MSC",22,2002-11-01,2024-11-30
"MTS",27,1978-11-01,2002-05-01
"MUN",184,1971-11-01,2006-09-01
"MUR",15,1994-11-01,2024-11-30
"MYS",66,2003-01-01,2024-11-30
"NET",39,2013-12-01,2024-11-30
"NEV",41,1992-11-01,2009-05-01
"NIB",58,1976-11-01,2009-05-01
"NIC",711,1979-12-29,2015-07-06
"NIP",98,1974-11-01,2003-05-01
"NIR",80,2004-11-01,2024-11-30
"NIT",72,1979-11-01,2009-05-01
"NOE",143,2012-08-27,2024-11-30
"NOO",218,1978-11-01,2014-05-01
"NUD",47,1983-11-01,2002-05-01
"NUM",58,1995-11-01,2024-11-30
"OLI",138,1983-11-01,2024-11-30
"OMA",10,2006-11-01,2024-11-30
"OPY",88,2011-11-01,2024-11-30
"OSI",13,1994-11-01,2024-11-30
"PDR",31,2010-11-01,2024-11-30
"PDT",28,1981-11-01,2020-05-01
"PDX",107,1970-11-01,1995-05-01
"PEG",637,1993-11-01,2015-06-18
"PGP",23,2005-11-01,2024-11-30
"PHA",138,1990-11-01,2024-11-30
"PHO",137,2004-11-01,2024-11-30
"PHX",13,2018-12-01,2024-11-30
"PIC",812,1996-12-06,2024-11-30
"PIL",14,2012-01-01,2024-11-30
"PIX",31,1981-11-01,2007-05-01
"PKA",22,1994-11-01,2024-11-30
"PNF",29,2022-10-14,2024-11-30
"POK",26,1989-11-01,1995-05-01
"POL",78,1998-11-01,2019-05-01
"POS",52,1987-11-01,2017-05-01
"PRN",10,2002-11-01,2024-11-30
"PRS",10,2006-11-01,2015-05-01
"PSI",35,1996-11-01,2024-11-30
"PSU",248,1970-11-01,2005-05-01
"PTE",13,2008-11-01,2024-11-30
"PUC",1061,1980-12-01,2019-03-22
"PWE",27,2009-11-01,2024-11-30
"PZL",53,2001-11-01,2024-11-30
"PZZ",15,1997-11-01,2024-11-30
"QUI",26,1985-11-01,1995-05-01
"QUO",17,1983-11-01,2009-05-01
"RAP",35,1997-11-01,2024-11-30
"RAZ",20,1963-11-01,1994-05-01
"RBD",65,2003-11-01,2024-11-30
"RDC",40,2010-04-01,2024-11-30
"REG",31,1980-11-01,2024-11-30
"REN",39,2008-11-01,2024-11-30
"REP",38,1980-11-01,2006-11-01
"RHO",335,2001-10-08,2024-11-30
"RHY",41,1988-11-01,2024-11-30
"RIP",133,1997-12-01,2024-11-30
"RKS",19,2015-11-01,2024-11-30
"RKT",82,2016-03-23,2024-11-30
"RLF",35,2006-05-01,2024-11-30
"RPC",11,1990-11-01,2024-11-30
"RSH",64,1989-11-01,2017-05-01
"RSO",82,2006-11-01,2024-11-30
"RUF",13,1991-11-01,2006-05-01
"SAS",69,1999-11-01,2014-05-01
"SCA",113,1981-11-01,2018-05-01
"SCH",59,1986-11-01,2018-05-01
"SCR",126,1984-11-01,1995-05-01
"SCT",49,1991-11-01,2024-11-30
"SCU",60,1976-11-01,2012-05-01
"SEM",11,2021-11-01,2024-11-30
"SEQ",44,2003-03-01,2017-05-01
"SER",12,1985-11-01,1996-05-01
"SGG",16,2017-08-01,2024-11-30
"SHB",12,2007-11-01,2024-11-30
"SHC",531,1998-10-25,2018-07-27
"SHO",117,1993-11-01,2024-11-30
"SKF",511,1998-11-01,2024-11-30
"SKR",57,1981-11-01,2013-05-01
"SKW",41,1987-11-01,2016-05-01
"SLI",160,1983-11-01,2013-11-01
"SLT",58,1996-11-01,2024-11-30
"SLV",40,2003-11-01,2011-05-01
"SMB",45,1977-11-01,2012-05-01
"SNW",12,1994-11-01,2024-11-30
"SOG",197,1995-11-01,2024-11-30
"SON",97,2014-11-17,2024-11-30
"SOP",20,2004-11-01,2024-11-30
"SPE",98,1996-01-01,2024-11-30
"SPO",83,1976-11-01,2012-05-01
"SQE",19,2017-10-27,2024-11-30
"SQL",247,1988-11-01,1995-02-10
"SQU",616,1972-11-01,2003-05-01
"STV",11,2003-11-01,2024-11-30
"SUM",45,1999-11-01,2024-11-30
"SUP",37,2006-11-01,2024-11-30
"SUR",789,1983-11-01,2019-03-25
"SVD",56,1994-11-01,2024-11-30
"SYM",30,2000-10-07,2003-05-01
"TAB",56,1970-11-01,2002-05-01
"TAF",87,1991-11-01,2024-11-30
"TAL",56,1996-11-01,2024-11-30
"TAM",81,1987-11-01,2024-11-30
"TAT",43,1982-11-01,1994-06-04
"TAW",76,2004-11-01,2024-11-30
"TBA",16,1982-11-01,2007-05-01
"TDL",19,2015-11-01,2024-11-30
"TDM",26,1974-11-01,1997-05-01
"TDO",26,2006-11-01,2024-11-30
"THU",11,1988-11-01,2024-11-30
"TIP",56,1984-11-01,1998-05-01
"TOG",25,2006-10-15,2024-11-30
"TON",148,1964-11-01,1996-05-01
"TOR",35,1990-11-01,2024-11-30
"TRE",89,1974-11-01,2003-05-01
"TRY",133,1975-11-01,2015-05-01
"TST",15,1982-11-01,2024-11-30
"TTM",100,2010-11-01,2024-11-30
"TUF",84,2014-01-23,2024-11-30
"TUK",174,1988-11-01,2016-04-15
"TUL",71,1998-11-01,2024-11-30
"TUN",35,1992-11-01,2024-11-30
"TUX",24,2018-03-01,2024-11-30
"TWE",160,1978-11-01,1991-11-01
"TWO",223,1968-11-01,2002-05-01
"UHF",410,1971-11-01,2003-05-01
"URP",60,1977-11-01,2012-05-01
"URS",13,2006-11-01,2024-11-30
"UVE",32,1989-11-01,2018-09-01
"VAM",26,1986-11-01,2010-05-01
"VBE",140,2001-11-01,2024-11-30
"VEC",37,1981-11-01,2016-05-01
"VEG",17,1995-11-01,2024-11-30
"VEN",11,1978-11-01,1993-05-01
"VLT",23,2010-12-01,2024-11-30
"WAC",107,1991-11-01,2024-11-30
"WAN",52,1983-11-01,2013-10-13
"WED",100,1976-11-01,2011-05-01
"WEE",15,1989-11-01,1995-05-01
"WES",13,2002-11-01,2024-11-30
"WHE",38,2004-11-01,2024-11-30
"WHL",38,1995-11-01,2017-05-01
"WHN",93,2006-11-01,2024-11-30
"WHO",59,2003-05-17,2024-11-30
"WHT",28,1992-11-01,2024-11-30
"WHZ",21,2019-11-01,2024-11-30
"WIF",15,1995-11-01,2007-05-01
"WIY",132,2016-11-06,2024-11-30
"WLB",14,1991-11-01,2024-11-30
"WLV",44,2004-11-01,2024-11-30
"WNG",141,1994-11-01,2024-11-30
"WOF",279,2002-10-19,2022-08-28
"WOM",94,1992-11-01,2009-05-01
"WON",21,2015-12-04,2024-11-30
"WOP",36,2014-09-01,2024-11-30
"WPY",31,2016-11-01,2024-11-30
"WYL",101,1982-11-01,2011-05-01
"YAD",32,2006-12-08,2009-11-20
"YAN",204,1976-11-01,1998-05-01
"YIN",184,1988-11-01,1997-05-01
"YOG",128,1971-11-01,1992-07-10
"ZAG",143,1986-11-01,1997-05-01
"ZEP",187,2004-11-01,2024-11-30
"ZIG",148,1974-11-01,1994-11-01
"ZIP",358,1990-11-01,2017-04-03
"ZOE",56,1986-11-01,2014-05-01
