Dolphin.ID,cyc.strength,repro.juvenile.strength,lact.strength,preg.strength,repro.unknown.strength,adult.strength,elder.strength,juvenile.strength
ITG,0,1.09738606,0,0,0.838827839,0.285714286,0,0.121543779
JAC,0,0.323907152,0,0,1.19591336,0.509541126,0,0.498366013
JAH,0,1.096866951,0.398830911,0.356089744,0.76193609,0,0,0.48415638
JAS,0,0.037735849,0,0,0,0,0,0
JMY,0.515263854,0.704849968,0.178409091,1.326709402,1.048372599,0,0,0.374892138
JND,0,1.449331598,0,0,0,0,0,0.652401704
JNI,0.277407407,0,0,1.238524545,0,0,0,0
JUI,0.948839997,0.731352979,0,1.459121775,1.104373332,0,0,0.34689274
JUM,0.328752983,0,0.145686993,0,0,0,0.664233552,0
KIT,0,0.046517413,0,0,0,0,0,0.046517413
KIY,0,0.395665108,1.071737589,2.476278475,1.013676992,0,0,0
KNG,0.833333333,0.203829787,0.617948718,0.358516484,0.382055853,0,0,0.163829787
KOA,0,0.423283891,0.166666667,0,0.987012268,0,0,0.317908407
LAS,0,0,0,0,0,0,0,0
LDO,0,0.528690679,0,0,0.627449348,0.300526271,0,0.200490196
LEN,1.20405469,2.053246486,0,2.139404564,1.964767656,0,0,1.093064899
LEV,0,0,0,0,0,0,0.142857143,0
LIC,0,0.118280739,0,0,0,0,0,0.105675697
LIF,0.24906015,0,0.353682515,0,0,0,0,0
LIT,0.533633959,0.356205014,0,0,0,0,0,0.32295726
LLA,0,0,0.825,0.133333333,0,0,0,0
LOO,0,1.124543064,0,0,0.452380952,0.285714286,0,0.239816129
LYR,0.762765821,0.952696189,0,0.082079343,0.222985348,0,0,0.22216489
MDH,0.400439281,0,1.666033001,0,0.316111111,0,0,0
MEO,0.041666667,0.302631579,2.045479696,1.342857143,0,0,0,0.166666667
MIS,0,0,0,0,0,0,0,0
MNG,0.25,0.1,0.521428571,0,1.902427819,0,0,0.1
MNV,0,0,0.142857143,0,0,0,0.527170868,0
MOU,0.693976917,0.351502412,0,0,0.769783935,0,0,0.088027012
MSC,0.022605364,0,0.443055556,0.125,0.543646679,0,0,0
MYS,0.568960114,0.598888654,0.941137035,0.467826441,1.029123257,0,0,0.273897059
NET,0.705919201,1.19557932,0,0.955207128,0.695596805,0,0,0.578822055
NIC,0,0.405330923,0,0,0,0,0,0.32199759
NIR,0.418297747,0.530670763,0.758950914,2.134748959,1.708413501,0,0,0.530670763
NOE,0.390478356,1.655420772,0.657507212,1.25231723,0.264692459,0,0,0.570434193
NUM,0,0.18622889,0,0,0.312402005,0,0,0
OLI,0.144270894,0,0,0,0,0,0,0
OMA,3.008985551,0,0,0.500534188,1.368589168,0,0,0
OPY,0.24427031,0.738808092,0,0,0.283055005,0,0,0.373489407
PDR,0.798717949,2.838922683,0,1.251972487,0.753187876,0,0,1.084651107
PDT,0,0,0,0,0,0,0.019230769,0
PEG,0,0.300607082,1.150363261,0.907769403,1.53889207,0,0,0
PHA,0,0.04,0,0,0,0,0,0
PHX,0,0.622820511,0,0,0,0,0,0.246533816
PIC,0,0.560741012,0,0,0.255087561,0,0.544153423,0
POL,0.140909091,1.591382795,0.798018116,1.208457109,0.955718277,0,0,0.881811588
PRN,0,0.242857143,0,0,2.400646343,0,0,0.1
PSI,0.09610984,0.122796588,0,0.1,0,0,0,0.105252728
PUC,0,0.397636287,0,0,0,0,0,0.326839827
PWE,0,0.945571091,0,0,0.794640927,0.159335248,0,0.331033183
PZL,0.511766795,0.388227513,0.621487451,0.955413165,1.063180226,0,0,0.24537037
PZZ,0,0.219298246,0,0.166666667,0,0,0,0.166666667
RBD,0,0.416699225,0,0,0.921605105,0.226258459,0,0.307875696
RDC,0.787104784,0.681694094,0,0.016393443,0.521884278,0,0,0.236770093
REG,0.333333333,0,0,0,0.690051925,0,0,0
RHO,1.137812487,1.214195926,1.13217558,1.028192593,1.955167847,0,0,0.572426007
RIP,0.369226282,0.435580347,0.454401848,0.829639127,1.122779001,0,0,0.354659885
RKS,0,1.903139336,0,0,1.703638807,0.48774485,0,0.643724655
RKT,0,1.788871957,0,0,2.59790155,0.66647056,0,0.614205171
RLF,0,0.843077707,1.473188497,0,1.820995396,0,0,0.613960114
RPC,0,0,0,0,0,0,0,0
RSH,0.246212121,0,0.272968882,0.22726477,0.38135059,0,0,0
RSO,0.749607757,0.93128282,0.873296783,2.224135308,1.837810455,0,0,0.315534376
SCA,0,0,0,0,0,0,0,0
SCT,0.558647366,0.291666667,0.44662637,1.004649666,0.787071817,0,0,0.166666667
SEM,0,1.452912497,0,0,0,0,0,0.550131234
SEQ,0,0.447171755,0.037037037,0,1.11912108,0,0,0.293845994
SHB,0,0.544009879,0.211111111,0,0.291666667,0,0,0
SHC,0.180585839,0.685343506,0.762437479,0.562965658,0.946161664,0,0,0.17593525
SKF,0,0.964631154,2.431978715,1.893219393,2.404579922,0,0,0
SOG,0.356643461,0.277190432,0,0,0,0,0,0.168345963
SON,0,1.26358327,0,0,1.55725946,0.504474707,0,0.460742534
SOP,0,0.305357143,0.526578629,0.314423002,0.48252994,0,0,0.305357143
SPE,0.661800422,0.029850746,0,0.093478261,0,0,0,0.029850746
SQE,0,2.190657279,1.783377251,0,0,0,0,0
STV,0,0,1.321256039,0,0.605313673,0,0,0
SUM,0,0.547405502,1.226190476,0.130252101,0.468694277,0,0,0.451438775
SUP,0.277777778,0.421264023,0.072337043,0.687814408,0.423931097,0,0,0.055555556
SUR,0,0.025460794,0,0,0,0,0,0.025460794
SVD,0,0,1.051770452,0.142857143,0,0,0,0
TAF,0,0.257575758,0,0.360575266,0,0,0,0.166666667
TAL,0.088932806,0.043277311,0,0.047619048,0,0,0,0.043277311
TAM,0.175405365,0,0.238966983,0.462009084,0,0,0.263240929,0
TAW,0,1.368392546,2.303566621,1.135287744,0.852537605,0,0,0
TDL,0,0.945670996,0.69537037,1.205358167,0.80839649,0,0,0.440909091
TDO,0,0.130681835,0,0,0.420929047,0.100990676,0,0.086199076
TOG,0,0,1.170044761,0.7,1.965665726,0,0,0
TOR,0,0,0.401094276,0,0,0,0,0
TST,0,0,0,0,0,0,0,0
TTM,0.741258355,1.002466649,0.342549627,0.768304204,0.698503805,0,0,0.324519826
TUF,0,1.824778967,0.081325196,1.119244764,0.222093644,0,0,0.692044478
TUK,0.313698997,0.202013798,0,1.628394361,1.25373468,0,0.295053261,0.115544325
TUL,0.828866401,0.446663025,0.927192261,1.066072757,0.932216511,0,0,0.203703704
TUN,0,0,0.151805986,0.136601307,0.328768409,0,0,0
TUX,0,2.025423975,0,0,1.6823727,0.356344561,0,0.733688184
UVE,0,0,0.978006915,0.394650873,0.167427841,0,0,0.032258065
VBE,0.79922274,0.462933544,0.670051221,0.887951204,0.726248161,0,0,0.365664711
VLT,0,2.874550942,1.145707071,0,1.896895509,0,0,1.24256237
WAC,0,0,0,0,0,0,0,0
WES,0.308333333,0,1.975,0,0.052631579,0,0,0
WHE,0.179411765,0.31523753,0.385563866,0.899664336,0.488870164,0,0,0.141856223
WHL,0.087121212,0.111111111,0,0.441941392,0.162955466,0,0,0
WHN,0,0.659956668,0.234387023,0.784771754,0.796038813,0,0,0.293357399
WHO,1.178596593,0.099613833,0.464333066,0.449728035,0.945626166,0,0,0.034449597
WHT,0.594155844,0,0,0.666666667,0,0,0,0
WHZ,0,1.145323262,0,0,0,0,0,0.415849688
WIY,0,1.907109734,0,0,2.522922811,0.831833096,0,0.514029694
WLV,0.627502231,0.333333333,2.279460892,1.670223265,0.73383853,0,0,0.166666667
WNG,0.111111111,0.171100262,0.457841351,0.342601054,0,0,0.359085933,0.149934832
WOF,1.165219458,1.633261049,2.720611113,1.441547007,2.725797382,0,0,0.840224453
WON,0,0.312791783,0,0,0.772191231,0.452892985,0,0.253968254
WOP,0,0.867340375,0.225490196,0.794593274,0.242156863,0,0,0.423913043
WPY,0,0.544235189,0,0,0.587032005,0.288931056,0,0.202284879
ZEP,1.392220928,2.010355585,0.894793461,2.15727617,2.251825249,0,0,1.011004347
ZIP,1.255609846,0.163135231,1.028564402,1.669215669,1.608348048,0,0,0.136934358
