"Repro.ID","Dolphin.ID","Combined.ID","Sightings","entrydate","departdate","genotyped","Age.ID","repro.strength","ReproCat","norm_repro","avg.tot.repro.str","norm.repro.indiv"
"BLI.unknown","BLI","BLI.unknown.adult",431,1974-11-01,2020-05-01,"Y","BLI.adult",0,"unknown","",0,NA
"BLI.unknown","BLI","BLI.unknown.elder",431,1974-11-01,2020-05-01,"Y","BLI.elder",0,"unknown","",0,NA
"BLK.cyc","BLK","BLK.cyc.adult",95,2000-11-01,2024-11-30,"Y","BLK.adult",0,"cyc","0",0.671426840162822,0
"BLK.juvenile","BLK","BLK.juvenile.juvenile",95,2000-11-01,2024-11-30,"Y","BLK.juvenile",0.230781960592224,"juvenile","0.334918005122775",0.671426840162822,0.343718699920098
"BLK.lact","BLK","BLK.lact.adult",95,2000-11-01,2024-11-30,"Y","BLK.adult",0.592430259005454,"lact","1.48693835919848",0.671426840162822,0.882345214054578
"BLK.preg","BLK","BLK.preg.adult",95,2000-11-01,2024-11-30,"Y","BLK.adult",0.973147710016435,"preg","2.12993638251607",0.671426840162822,1.44937266699145
"BLK.unknown","BLK","BLK.unknown.adult",95,2000-11-01,2024-11-30,"Y","BLK.adult",1.5607742712,"unknown","",0.671426840162822,2.32456341903387
"BLM.juvenile","BLM","BLM.juvenile.juvenile",115,2015-11-20,2024-11-30,"Y","BLM.juvenile",2.66691541982876,"juvenile","3.87031113674622",2.89277381718339,0.921923243354522
"BLM.unknown","BLM","BLM.unknown.adult",115,2015-11-20,2024-11-30,"Y","BLM.adult",3.11863221453803,"unknown","",2.89277381718339,1.07807675664548
"BNG.cyc","BNG","BNG.cyc.adult",70,2004-11-01,2019-05-01,"Y","BNG.adult",0.187509186583179,"cyc","0.631992256434092",0.422571799877116,0.443733317362178
"BNG.juvenile","BNG","BNG.juvenile.juvenile",70,2004-11-01,2019-05-01,"Y","BNG.juvenile",0.505502139603566,"juvenile","0.733600528164613",0.422571799877116,1.19625147667347
"BNG.lact","BNG","BNG.lact.adult",70,2004-11-01,2019-05-01,"Y","BNG.adult",0.256676779066655,"lact","0.644232030535445",0.422571799877116,0.607415779144035
"BNG.preg","BNG","BNG.preg.adult",70,2004-11-01,2019-05-01,"Y","BNG.adult",0.629144292714272,"preg","1.37701327877742",0.422571799877116,1.48884590239393
"BNG.unknown","BNG","BNG.unknown.adult",70,2004-11-01,2019-05-01,"Y","BNG.adult",0.534026601417906,"unknown","",0.422571799877116,1.26375352442638
"BOJ.lact","BOJ","BOJ.lact.adult",13,2000-11-01,2024-11-30,"Y","BOJ.adult",0,"lact","0",0,NA
"BOJ.unknown","BOJ","BOJ.unknown.adult",13,2000-11-01,2024-11-30,"Y","BOJ.adult",0,"unknown","",0,NA
"BOM.cyc","BOM","BOM.cyc.adult",102,1985-11-01,2021-05-01,"Y","BOM.adult",0.272146955438912,"cyc","0.917260490451806",0.0453578259064853,6
"BOM.lact","BOM","BOM.lact.adult",102,1985-11-01,2021-05-01,"Y","BOM.adult",0,"lact","0",0.0453578259064853,0
"BOM.lact","BOM","BOM.lact.elder",102,1985-11-01,2021-05-01,"Y","BOM.elder",0,"lact","0",0.0453578259064853,0
"BOM.preg","BOM","BOM.preg.adult",102,1985-11-01,2021-05-01,"Y","BOM.adult",0,"preg","0",0.0453578259064853,0
"BOM.unknown","BOM","BOM.unknown.adult",102,1985-11-01,2021-05-01,"Y","BOM.adult",0,"unknown","",0.0453578259064853,0
"BOM.unknown","BOM","BOM.unknown.elder",102,1985-11-01,2021-05-01,"Y","BOM.elder",0,"unknown","",0.0453578259064853,0
"BOR.juvenile","BOR","BOR.juvenile.juvenile",30,2016-10-14,2024-11-30,"Y","BOR.juvenile",0.532233459918882,"juvenile","0.772393856947023",0.833832829952865,0.638297558935126
"BOR.unknown","BOR","BOR.unknown.adult",30,2016-10-14,2024-11-30,"Y","BOR.adult",1.13543219998685,"unknown","",0.833832829952865,1.36170244106487
"BRE.cyc","BRE","BRE.cyc.adult",66,1981-11-01,2024-11-30,"Y","BRE.adult",0.00338983050847458,"cyc","0.0114252889206024",0.000564971751412429,6
"BRE.lact","BRE","BRE.lact.adult",66,1981-11-01,2024-11-30,"Y","BRE.adult",0,"lact","0",0.000564971751412429,0
"BRE.lact","BRE","BRE.lact.elder",66,1981-11-01,2024-11-30,"Y","BRE.elder",0,"lact","0",0.000564971751412429,0
"BRE.preg","BRE","BRE.preg.adult",66,1981-11-01,2024-11-30,"Y","BRE.adult",0,"preg","0",0.000564971751412429,0
"BRE.unknown","BRE","BRE.unknown.elder",66,1981-11-01,2024-11-30,"Y","BRE.elder",0,"unknown","",0.000564971751412429,0
"BRE.unknown","BRE","BRE.unknown.adult",66,1981-11-01,2024-11-30,"Y","BRE.adult",0,"unknown","",0.000564971751412429,0
"BRP.juvenile","BRP","BRP.juvenile.juvenile",11,2014-11-15,2024-11-30,"Y","BRP.juvenile",2.58050094982198,"juvenile","3.74490375293623",2.58050094982198,1
"BSC.juvenile","BSC","BSC.juvenile.juvenile",35,1996-11-01,2024-11-30,"Y","BSC.juvenile",0.262443988759778,"juvenile","0.380866931480823",0.131221994379889,2
"BSC.unknown","BSC","BSC.unknown.adult",35,1996-11-01,2024-11-30,"Y","BSC.adult",0,"unknown","",0.131221994379889,0
"BSS.cyc","BSS","BSS.cyc.adult",299,2002-12-12,2019-07-26,"Y","BSS.adult",1.13659832341802,"cyc","3.83085944835835",1.47657329587708,0.769754083045963
"BSS.juvenile","BSS","BSS.juvenile.juvenile",299,2002-12-12,2019-07-26,"Y","BSS.juvenile",1.16473586450738,"juvenile","1.69030114500597",1.47657329587708,0.788810056202135
"BSS.lact","BSS","BSS.lact.adult",299,2002-12-12,2019-07-26,"Y","BSS.adult",1.30020329823748,"lact","3.26337510536897",1.47657329587708,0.880554525717032
"BSS.preg","BSS","BSS.preg.adult",299,2002-12-12,2019-07-26,"Y","BSS.adult",2.31223880701345,"preg","5.06081606053444",1.47657329587708,1.56594922410538
"BSS.unknown","BSS","BSS.unknown.adult",299,2002-12-12,2019-07-26,"Y","BSS.adult",1.4690901862091,"unknown","",1.47657329587708,0.994932110929489
"BUT.juvenile","BUT","BUT.juvenile.juvenile",23,2006-11-01,2024-11-30,"Y","BUT.juvenile",0.349901624027911,"juvenile","0.507788189371138",0.7637000884282,0.458166274077638
"BUT.lact","BUT","BUT.lact.adult",23,2006-11-01,2024-11-30,"Y","BUT.adult",1.74641019956422,"lact","4.38330803863212",0.7637000884282,2.28677490814303
"BUT.unknown","BUT","BUT.unknown.adult",23,2006-11-01,2024-11-30,"Y","BUT.adult",0.194788441692466,"unknown","",0.7637000884282,0.25505881777933
"BWS.unknown","BWS","BWS.unknown.adult",11,1995-11-01,2024-11-30,"Y","BWS.adult",0,"unknown","",0,NA
"BYT.cyc","BYT","BYT.cyc.elder",344,1976-11-01,2024-11-30,"Y","BYT.elder",0,"cyc","0",0,NA
"BYT.cyc","BYT","BYT.cyc.adult",344,1976-11-01,2024-11-30,"Y","BYT.adult",0,"cyc","0",0,NA
"BYT.lact","BYT","BYT.lact.adult",344,1976-11-01,2024-11-30,"Y","BYT.adult",0,"lact","0",0,NA
"BYT.lact","BYT","BYT.lact.elder",344,1976-11-01,2024-11-30,"Y","BYT.elder",0,"lact","0",0,NA
"BYT.preg","BYT","BYT.preg.elder",344,1976-11-01,2024-11-30,"Y","BYT.elder",0,"preg","0",0,NA
"BYT.preg","BYT","BYT.preg.adult",344,1976-11-01,2024-11-30,"Y","BYT.adult",0,"preg","0",0,NA
"BYT.unknown","BYT","BYT.unknown.adult",344,1976-11-01,2024-11-30,"Y","BYT.adult",0,"unknown","",0,NA
"BYT.unknown","BYT","BYT.unknown.elder",344,1976-11-01,2024-11-30,"Y","BYT.elder",0,"unknown","",0,NA
"BZD.juvenile","BZD","BZD.juvenile.juvenile",16,2017-11-01,2024-11-30,"Y","BZD.juvenile",0.721002886002886,"juvenile","1.04634195691977",0.721002886002886,1
"CAD.juvenile","CAD","CAD.juvenile.juvenile",14,2000-11-01,2024-11-30,"Y","CAD.juvenile",0.229206980788878,"juvenile","0.332632345132315",0.423005449726093,0.541853493701547
