"ID1","ID2","weight","Dolphin.ID1","Dolphin.ID2","IDPair","DyadML","Closekin","State1","State2","shared_state"
"AMP.lact","LEN.preg",0.0212765957446809,"AMP","LEN","AMP.LEN",0,"N","lact","preg","N"
"LIT.preg","AMP.preg",0.0666666666666667,"LIT","AMP","AMP.LIT",0,"N","preg","preg","Y"
"NIR.preg","AMP.preg",0.032258064516129,"NIR","AMP","AMP.NIR",0.0102,"N","preg","preg","Y"
"NOE.juvenile","AMP.lact",0.010752688172043,"NOE","AMP","AMP.NOE",0,"N","juvenile","lact","N"
"NOE.preg","AMP.lact",0.032258064516129,"NOE","AMP","AMP.NOE",0,"N","preg","lact","N"
"AMP.preg","RKS.juvenile",0.25,"AMP","RKS","AMP.RKS",0.4515,"Y","preg","juvenile","N"
"AMP.preg","RSO.lact",0.05,"AMP","RSO","AMP.RSO",0,"N","preg","lact","N"
"SUP.preg","AMP.preg",0.0666666666666667,"SUP","AMP","AMP.SUP",0,"N","preg","preg","Y"
"AMP.preg","TAW.preg",0.0454545454545455,"AMP","TAW","AMP.TAW",0.0137,"N","preg","preg","Y"
"AMP.lact","WLV.preg",0.0476190476190476,"AMP","WLV","AMP.WLV",0.0095,"N","lact","preg","N"
"WOF.lact","AMP.lact",0.0175438596491228,"WOF","AMP","AMP.WOF",0.0126,"N","lact","lact","Y"
"AMP.lact","ZEP.preg",0.0384615384615385,"AMP","ZEP","AMP.ZEP",0,"N","lact","preg","N"
"ZEP.preg","AMP.preg",0.0392156862745098,"ZEP","AMP","AMP.ZEP",0,"N","preg","preg","Y"
"ANE.juvenile","BSS.cyc",0.0196078431372549,"ANE","BSS","ANE.BSS",0,"N","juvenile","cyc","N"
"ANE.juvenile","CLO.preg",0.117647058823529,"ANE","CLO","ANE.CLO",0.4747,"Y","juvenile","preg","N"
"ANE.juvenile","CLO.lact",0.342857142857143,"ANE","CLO","ANE.CLO",0.4747,"Y","juvenile","lact","N"
"COP.preg","ANE.cyc",0.181818181818182,"COP","ANE","ANE.COP",0.0131,"N","preg","cyc","N"
"ANE.juvenile","CYR.cyc",0.0294117647058824,"ANE","CYR","ANE.CYR",0.029,"N","juvenile","cyc","N"
"DOY.juvenile","ANE.preg",0.12,"DOY","ANE","ANE.DOY",0.193,"Y","juvenile","preg","N"
"ANE.cyc","DOY.juvenile",0.307692307692308,"ANE","DOY","ANE.DOY",0.193,"Y","cyc","juvenile","N"
"ANE.juvenile","DOY.juvenile",0.0769230769230769,"ANE","DOY","ANE.DOY",0.193,"Y","juvenile","juvenile","Y"
"EDE.cyc","ANE.juvenile",0.0119047619047619,"EDE","ANE","ANE.EDE",0,"N","cyc","juvenile","N"
"ANE.cyc","EDE.preg",0.0099009900990099,"ANE","EDE","ANE.EDE",0,"N","cyc","preg","N"
"ANE.juvenile","FSB.juvenile",0.0232558139534884,"ANE","FSB","ANE.FSB",0,"N","juvenile","juvenile","Y"
"FUT.juvenile","ANE.juvenile",0.00806451612903226,"FUT","ANE","ANE.FUT",0,"N","juvenile","juvenile","Y"
"ANE.juvenile","GAB.preg",0.0277777777777778,"ANE","GAB","ANE.GAB",0,"N","juvenile","preg","N"
"ANE.juvenile","GAB.lact",0.03125,"ANE","GAB","ANE.GAB",0,"N","juvenile","lact","N"
"ANE.juvenile","GUA.juvenile",0.0204081632653061,"ANE","GUA","ANE.GUA",0,"N","juvenile","juvenile","Y"
"ANE.juvenile","HFF.preg",0.0204081632653061,"ANE","HFF","ANE.HFF",0,"N","juvenile","preg","N"
"HFF.lact","ANE.cyc",0.0178571428571429,"HFF","ANE","ANE.HFF",0,"N","lact","cyc","N"
"HFF.juvenile","ANE.juvenile",0.012987012987013,"HFF","ANE","ANE.HFF",0,"N","juvenile","juvenile","Y"
"ANE.juvenile","MDH.cyc",0.03125,"ANE","MDH","ANE.MDH",0.0026,"N","juvenile","cyc","N"
"ANE.cyc","MSC.lact",0.0666666666666667,"ANE","MSC","ANE.MSC",0.0368,"N","cyc","lact","N"
