Observation ID,Observation Date,Platform,Observation Start Time,Observation End Time,Group ID,Group Size Time Period,Group Size Accuracy,Group Size Span,Group Size,Group Size Min,Group Size Max
765,1988-07-22,BLOWFISH,08:15:00,08:20:00,57,FIRST FIVE MINUTES,ACCURATE,,2,,
765,1988-07-22,BLOWFISH,08:15:00,08:20:00,58,TOTAL BEFORE DEPART,ACCURATE,,2,,
766,1988-07-22,MAZIWA,08:30:00,08:35:00,59,FIRST FIVE MINUTES,ACCURATE,,1,,
766,1988-07-22,MAZIWA,08:30:00,08:35:00,60,TOTAL BEFORE DEPART,ACCURATE,,1,,
768,1988-07-22,MAZIWA,08:48:09,09:05:00,61,FIRST FIVE MINUTES,ACCURATE,,8,,
768,1988-07-22,MAZIWA,08:48:09,09:05:00,62,TOTAL BEFORE DEPART,ACCURATE,,14,,
770,1988-07-25,MAZIWA,11:15:00,11:20:00,63,FIRST FIVE MINUTES,ACCURATE,,2,,
770,1988-07-25,MAZIWA,11:15:00,11:20:00,64,TOTAL BEFORE DEPART,ACCURATE,,8,,
771,1988-07-25,BLOWFISH,11:35:00,11:40:00,65,FIRST FIVE MINUTES,ACCURATE,,7,,
771,1988-07-25,BLOWFISH,11:35:00,11:40:00,66,TOTAL BEFORE DEPART,ACCURATE,,7,,
775,1988-07-31,BLOWFISH,08:49:00,08:54:00,67,FIRST FIVE MINUTES,ACCURATE,,8,,
775,1988-07-31,BLOWFISH,08:49:00,08:54:00,68,TOTAL BEFORE DEPART,ACCURATE,,8,,
776,1988-07-31,MAZIWA,09:13:00,09:18:00,69,FIRST FIVE MINUTES,ACCURATE,,6,,
776,1988-07-31,MAZIWA,09:13:00,09:18:00,70,TOTAL BEFORE DEPART,ACCURATE,,6,,
778,1988-07-31,BLOWFISH,09:50:00,10:12:00,71,FIRST FIVE MINUTES,ACCURATE,,1,,
778,1988-07-31,BLOWFISH,09:50:00,10:12:00,72,TOTAL BEFORE DEPART,ACCURATE,,1,,
783,1988-07-31,MAZIWA,10:20:00,10:43:00,73,FIRST FIVE MINUTES,ACCURATE,,4,,
783,1988-07-31,MAZIWA,10:20:00,10:43:00,74,TOTAL BEFORE DEPART,ACCURATE,,7,,
788,1988-08-05,BLOWFISH,13:00:00,13:05:00,75,FIRST FIVE MINUTES,ACCURATE,,5,,
788,1988-08-05,BLOWFISH,13:00:00,13:05:00,76,TOTAL BEFORE DEPART,ACCURATE,,5,,
789,1988-08-06,BLOWFISH,11:28:00,11:33:00,77,FIRST FIVE MINUTES,ACCURATE,,5,,
789,1988-08-06,BLOWFISH,11:28:00,11:33:00,78,TOTAL BEFORE DEPART,ACCURATE,,5,,
790,1988-08-06,MAZIWA,11:35:00,11:39:00,79,FIRST FIVE MINUTES,ACCURATE,,2,,
790,1988-08-06,MAZIWA,11:35:00,11:39:00,80,TOTAL BEFORE DEPART,ACCURATE,,2,,
791,1988-08-06,MAZIWA,11:45:00,11:50:00,81,FIRST FIVE MINUTES,ACCURATE,,2,,
791,1988-08-06,MAZIWA,11:45:00,11:50:00,82,TOTAL BEFORE DEPART,ACCURATE,,2,,
803,1988-08-10,MAZIWA,09:18:00,09:23:00,83,FIRST FIVE MINUTES,ACCURATE,,4,,
803,1988-08-10,MAZIWA,09:18:00,09:23:00,84,TOTAL BEFORE DEPART,ACCURATE,,4,,
804,1988-08-10,BLOWFISH,09:38:00,09:55:00,85,FIRST FIVE MINUTES,ACCURATE,,6,,
804,1988-08-10,BLOWFISH,09:38:00,09:55:00,86,TOTAL BEFORE DEPART,ACCURATE,,6,,
806,1988-08-10,MAZIWA,10:14:00,10:23:00,46273,TOTAL BEFORE DEPART,ACCURATE,,14,,
806,1988-08-10,MAZIWA,10:14:00,10:23:00,46274,FIRST FIVE MINUTES,ACCURATE,,14,,
809,1988-08-13,MAZIWA,08:09:00,08:11:00,89,FIRST FIVE MINUTES,ACCURATE,,1,,
809,1988-08-13,MAZIWA,08:09:00,08:11:00,90,TOTAL BEFORE DEPART,ACCURATE,,1,,
810,1988-08-13,MAZIWA,08:11:00,08:16:00,91,FIRST FIVE MINUTES,ACCURATE,,2,,
810,1988-08-13,MAZIWA,08:11:00,08:16:00,92,TOTAL BEFORE DEPART,ACCURATE,,2,,
811,1988-08-13,MAZIWA,08:19:00,08:24:00,93,FIRST FIVE MINUTES,ACCURATE,,2,,
811,1988-08-13,MAZIWA,08:19:00,08:24:00,94,TOTAL BEFORE DEPART,ACCURATE,,2,,
812,1988-08-13,MAZIWA,09:20:00,09:38:00,95,FIRST FIVE MINUTES,ACCURATE,,2,,
812,1988-08-13,MAZIWA,09:20:00,09:38:00,96,TOTAL BEFORE DEPART,ACCURATE,,4,,
814,1988-08-13,MAZIWA,11:02:00,11:07:00,97,FIRST FIVE MINUTES,ACCURATE,,6,,
814,1988-08-13,MAZIWA,11:02:00,11:07:00,98,TOTAL BEFORE DEPART,ACCURATE,,6,,
819,1988-08-16,MAZIWA,09:50:00,09:55:00,99,FIRST FIVE MINUTES,ACCURATE,,13,,
819,1988-08-16,MAZIWA,09:50:00,09:55:00,100,TOTAL BEFORE DEPART,ACCURATE,,13,,
933,1988-12-07,OTHER,13:10:00,13:15:00,43161,TOTAL BEFORE DEPART,ESTIMATE,POINT,11,,
1002,1989-05-23,MAZIWA,15:43:00,16:23:00,101,FIRST FIVE MINUTES,ACCURATE,,2,,
1002,1989-05-23,MAZIWA,15:43:00,16:23:00,102,TOTAL BEFORE DEPART,ACCURATE,,3,,
1003,1989-05-24,MAZIWA,08:26:00,08:42:00,103,FIRST FIVE MINUTES,ACCURATE,,3,,
1003,1989-05-24,MAZIWA,08:26:00,08:42:00,104,TOTAL BEFORE DEPART,ACCURATE,,3,,
1004,1989-05-25,MAZIWA,14:32:00,15:01:00,105,FIRST FIVE MINUTES,ACCURATE,,5,,
1004,1989-05-25,MAZIWA,14:32:00,15:01:00,106,TOTAL BEFORE DEPART,ACCURATE,,5,,
1007,1989-05-25,MAZIWA,15:18:00,15:23:00,107,FIRST FIVE MINUTES,ACCURATE,,2,,
1007,1989-05-25,MAZIWA,15:18:00,15:23:00,108,TOTAL BEFORE DEPART,ACCURATE,,3,,
1011,1989-05-28,MAZIWA,07:57:00,08:03:00,109,FIRST FIVE MINUTES,ACCURATE,,3,,
1011,1989-05-28,MAZIWA,07:57:00,08:03:00,110,TOTAL BEFORE DEPART,ACCURATE,,3,,
1016,1989-05-29,MAZIWA,09:50:00,09:55:00,111,FIRST FIVE MINUTES,ACCURATE,,2,,
1016,1989-05-29,MAZIWA,09:50:00,09:55:00,112,TOTAL BEFORE DEPART,ACCURATE,,2,,
1020,1989-05-30,MAZIWA,10:40:30,10:49:00,113,FIRST FIVE MINUTES,ACCURATE,,5,,
1020,1989-05-30,MAZIWA,10:40:30,10:49:00,114,TOTAL BEFORE DEPART,ACCURATE,,5,,
1021,1989-05-30,MAZIWA,10:46:55,10:51:55,115,FIRST FIVE MINUTES,ACCURATE,,2,,
1021,1989-05-30,MAZIWA,10:46:55,10:51:55,116,TOTAL BEFORE DEPART,ACCURATE,,2,,
1022,1989-05-31,MAZIWA,07:23:00,07:40:00,46275,TOTAL BEFORE DEPART,ACCURATE,,14,,
1022,1989-05-31,MAZIWA,07:23:00,07:40:00,46276,FIRST FIVE MINUTES,ACCURATE,,14,,
1025,1989-05-31,MAZIWA,10:25:00,10:40:10,119,FIRST FIVE MINUTES,ACCURATE,,4,,
1025,1989-05-31,MAZIWA,10:25:00,10:40:10,120,TOTAL BEFORE DEPART,ACCURATE,,4,,
1026,1989-05-31,MAZIWA,10:42:22,10:47:22,121,FIRST FIVE MINUTES,ACCURATE,,2,,
1026,1989-05-31,MAZIWA,10:42:22,10:47:22,122,TOTAL BEFORE DEPART,ACCURATE,,3,,
1027,1989-05-31,MAZIWA,11:32:36,11:37:36,123,FIRST FIVE MINUTES,ACCURATE,,2,,
1027,1989-05-31,MAZIWA,11:32:36,11:37:36,124,TOTAL BEFORE DEPART,ACCURATE,,3,,
1028,1989-05-31,MAZIWA,12:08:30,12:13:30,125,FIRST FIVE MINUTES,ACCURATE,,12,,
1028,1989-05-31,MAZIWA,12:08:30,12:13:30,126,TOTAL BEFORE DEPART,ACCURATE,,12,,
1029,1989-05-31,MAZIWA,16:07:00,16:50:00,127,FIRST FIVE MINUTES,ACCURATE,,2,,
1029,1989-05-31,MAZIWA,16:07:00,16:50:00,128,TOTAL BEFORE DEPART,ACCURATE,,2,,
1030,1989-05-31,MAZIWA,16:25:00,16:30:00,129,FIRST FIVE MINUTES,ACCURATE,,3,,
1030,1989-05-31,MAZIWA,16:25:00,16:30:00,130,TOTAL BEFORE DEPART,ACCURATE,,6,,
1031,1989-05-31,MAZIWA,17:00:00,17:44:00,131,FIRST FIVE MINUTES,ACCURATE,,2,,
1031,1989-05-31,MAZIWA,17:00:00,17:44:00,132,TOTAL BEFORE DEPART,ACCURATE,,4,,
1035,1989-06-01,MAZIWA,10:55:00,11:01:00,46277,TOTAL BEFORE DEPART,ACCURATE,,4,,
1035,1989-06-01,MAZIWA,10:55:00,11:01:00,46278,FIRST FIVE MINUTES,ACCURATE,,2,,
1037,1989-06-01,MAZIWA,17:15:00,17:42:00,135,FIRST FIVE MINUTES,ACCURATE,,3,,
1037,1989-06-01,MAZIWA,17:15:00,17:42:00,136,TOTAL BEFORE DEPART,ACCURATE,,6,,
1039,1989-06-04,MAZIWA,14:20:00,14:35:00,137,FIRST FIVE MINUTES,ACCURATE,,2,,
1039,1989-06-04,MAZIWA,14:20:00,14:35:00,138,TOTAL BEFORE DEPART,ACCURATE,,2,,
1040,1989-06-04,MAZIWA,14:44:00,14:49:00,139,FIRST FIVE MINUTES,ACCURATE,,2,,
1040,1989-06-04,MAZIWA,14:44:00,14:49:00,140,TOTAL BEFORE DEPART,ACCURATE,,2,,
1042,1989-06-05,MAZIWA,11:14:00,11:19:00,141,FIRST FIVE MINUTES,ACCURATE,,2,,
1042,1989-06-05,MAZIWA,11:14:00,11:19:00,142,TOTAL BEFORE DEPART,ACCURATE,,2,,
1043,1989-06-05,MAZIWA,11:30:00,11:35:00,143,FIRST FIVE MINUTES,ACCURATE,,3,,
1043,1989-06-05,MAZIWA,11:30:00,11:35:00,144,TOTAL BEFORE DEPART,ACCURATE,,3,,
1044,1989-06-05,MAZIWA,11:40:00,12:13:00,145,FIRST FIVE MINUTES,ACCURATE,,4,,
1044,1989-06-05,MAZIWA,11:40:00,12:13:00,146,TOTAL BEFORE DEPART,ACCURATE,,4,,
1045,1989-06-05,MAZIWA,12:27:00,12:32:00,147,FIRST FIVE MINUTES,ACCURATE,,3,,
1045,1989-06-05,MAZIWA,12:27:00,12:32:00,148,TOTAL BEFORE DEPART,ACCURATE,,3,,
1047,1989-06-05,MAZIWA,13:44:00,13:49:00,149,FIRST FIVE MINUTES,ACCURATE,,2,,
1047,1989-06-05,MAZIWA,13:44:00,13:49:00,150,TOTAL BEFORE DEPART,ACCURATE,,2,,
1048,1989-06-05,MAZIWA,14:09:00,14:14:00,151,FIRST FIVE MINUTES,ACCURATE,,6,,
1048,1989-06-05,MAZIWA,14:09:00,14:14:00,152,TOTAL BEFORE DEPART,ACCURATE,,6,,
1049,1989-06-05,MAZIWA,14:20:00,14:26:00,153,FIRST FIVE MINUTES,ACCURATE,,5,,
1049,1989-06-05,MAZIWA,14:20:00,14:26:00,154,TOTAL BEFORE DEPART,ACCURATE,,5,,
1054,1989-06-11,MAZIWA,14:40:00,15:19:00,155,FIRST FIVE MINUTES,ACCURATE,,6,,
1054,1989-06-11,MAZIWA,14:40:00,15:19:00,156,TOTAL BEFORE DEPART,ESTIMATE,RANGE,,8,9
1056,1989-06-11,MAZIWA,15:42:00,15:58:00,157,FIRST FIVE MINUTES,ACCURATE,,2,,
1056,1989-06-11,MAZIWA,15:42:00,15:58:00,158,TOTAL BEFORE DEPART,ACCURATE,,5,,
1057,1989-06-11,MAZIWA,16:02:00,16:15:00,46365,FIRST FIVE MINUTES,ACCURATE,,1,,
1057,1989-06-11,MAZIWA,16:02:00,16:15:00,46366,TOTAL BEFORE DEPART,ACCURATE,,2,,
1058,1989-06-11,MAZIWA,16:15:39,16:26:00,161,FIRST FIVE MINUTES,ACCURATE,,4,,
1058,1989-06-11,MAZIWA,16:15:39,16:26:00,162,TOTAL BEFORE DEPART,ACCURATE,,4,,
1059,1989-06-11,MAZIWA,16:55:25,17:18:00,163,FIRST FIVE MINUTES,ACCURATE,,4,,
1059,1989-06-11,MAZIWA,16:55:25,17:18:00,164,TOTAL BEFORE DEPART,ESTIMATE,RANGE,,4,5
1060,1989-06-11,MAZIWA,17:50:00,17:55:00,165,FIRST FIVE MINUTES,ACCURATE,,3,,
1060,1989-06-11,MAZIWA,17:50:00,17:55:00,166,TOTAL BEFORE DEPART,ACCURATE,,3,,
1061,1989-06-12,MAZIWA,10:07:00,10:12:00,167,FIRST FIVE MINUTES,ACCURATE,,2,,
1061,1989-06-12,MAZIWA,10:07:00,10:12:00,168,TOTAL BEFORE DEPART,ACCURATE,,2,,
1064,1989-06-12,MAZIWA,11:20:35,11:30:00,169,FIRST FIVE MINUTES,ACCURATE,,4,,
1064,1989-06-12,MAZIWA,11:20:35,11:30:00,170,TOTAL BEFORE DEPART,ACCURATE,,4,,
1066,1989-06-12,MAZIWA,12:00:00,12:22:00,52049,TOTAL BEFORE DEPART,ESTIMATE,RANGE,,16,17
1066,1989-06-12,MAZIWA,12:00:00,12:22:00,52050,FIRST FIVE MINUTES,ESTIMATE,RANGE,,16,17
1069,1989-06-15,MAZIWA,07:30:00,07:35:40,173,FIRST FIVE MINUTES,ACCURATE,,2,,
1069,1989-06-15,MAZIWA,07:30:00,07:35:40,174,TOTAL BEFORE DEPART,ACCURATE,,2,,
1070,1989-06-15,MAZIWA,07:55:00,08:45:00,175,FIRST FIVE MINUTES,ACCURATE,,5,,
1070,1989-06-15,MAZIWA,07:55:00,08:45:00,176,TOTAL BEFORE DEPART,ACCURATE,,6,,
1072,1989-06-15,MAZIWA,08:58:00,09:03:00,177,FIRST FIVE MINUTES,ACCURATE,,2,,
1072,1989-06-15,MAZIWA,08:58:00,09:03:00,178,TOTAL BEFORE DEPART,ACCURATE,,2,,
1074,1989-06-16,MAZIWA,09:16:10,09:21:10,179,FIRST FIVE MINUTES,ACCURATE,,2,,
1074,1989-06-16,MAZIWA,09:16:10,09:21:10,180,TOTAL BEFORE DEPART,ACCURATE,,2,,
1075,1989-06-16,MAZIWA,12:48:28,13:05:00,46285,TOTAL BEFORE DEPART,ACCURATE,,7,,
1075,1989-06-16,MAZIWA,12:48:28,13:05:00,46286,FIRST FIVE MINUTES,ACCURATE,,7,,
1080,1989-06-17,MAZIWA,14:13:00,14:28:00,183,FIRST FIVE MINUTES,ACCURATE,,6,,
1080,1989-06-17,MAZIWA,14:13:00,14:28:00,184,TOTAL BEFORE DEPART,ACCURATE,,6,,
1081,1989-06-17,MAZIWA,14:34:00,14:39:00,185,FIRST FIVE MINUTES,ACCURATE,,7,,
1081,1989-06-17,MAZIWA,14:34:00,14:39:00,186,TOTAL BEFORE DEPART,ACCURATE,,9,,
1082,1989-06-18,MAZIWA,16:04:00,16:10:00,187,FIRST FIVE MINUTES,ACCURATE,,3,,
1082,1989-06-18,MAZIWA,16:04:00,16:10:00,188,TOTAL BEFORE DEPART,ACCURATE,,3,,
1084,1989-06-18,MAZIWA,17:27:00,17:40:00,189,FIRST FIVE MINUTES,ACCURATE,,10,,
1084,1989-06-18,MAZIWA,17:27:00,17:40:00,190,TOTAL BEFORE DEPART,ACCURATE,,10,,
1087,1989-06-18,MAZIWA,17:40:51,18:17:00,191,FIRST FIVE MINUTES,ACCURATE,,7,,
1087,1989-06-18,MAZIWA,17:40:51,18:17:00,192,TOTAL BEFORE DEPART,ACCURATE,,8,,
1088,1989-06-20,MAZIWA,14:40:00,14:45:00,193,FIRST FIVE MINUTES,ACCURATE,,2,,
1088,1989-06-20,MAZIWA,14:40:00,14:45:00,194,TOTAL BEFORE DEPART,ACCURATE,,2,,
1089,1989-06-20,MAZIWA,14:50:00,15:00:00,195,FIRST FIVE MINUTES,ACCURATE,,2,,
1089,1989-06-20,MAZIWA,14:50:00,15:00:00,196,TOTAL BEFORE DEPART,ACCURATE,,2,,
1090,1989-06-20,MAZIWA,15:22:30,15:27:30,197,FIRST FIVE MINUTES,ACCURATE,,6,,
1090,1989-06-20,MAZIWA,15:22:30,15:27:30,198,TOTAL BEFORE DEPART,ACCURATE,,6,,
1094,1989-06-21,MAZIWA,11:40:00,11:45:00,199,FIRST FIVE MINUTES,ACCURATE,,2,,
1094,1989-06-21,MAZIWA,11:40:00,11:45:00,200,TOTAL BEFORE DEPART,ACCURATE,,4,,
1096,1989-06-21,MAZIWA,14:47:37,15:20:00,201,FIRST FIVE MINUTES,ACCURATE,,5,,
1096,1989-06-21,MAZIWA,14:47:37,15:20:00,202,TOTAL BEFORE DEPART,ACCURATE,,5,,
1098,1989-06-22,MAZIWA,14:16:00,14:21:00,203,FIRST FIVE MINUTES,ACCURATE,,4,,
1098,1989-06-22,MAZIWA,14:16:00,14:21:00,204,TOTAL BEFORE DEPART,ACCURATE,,4,,
1101,1989-06-23,MAZIWA,14:10:00,14:16:00,205,FIRST FIVE MINUTES,ACCURATE,,1,,
1101,1989-06-23,MAZIWA,14:10:00,14:16:00,206,TOTAL BEFORE DEPART,ACCURATE,,2,,
1102,1989-06-23,MAZIWA,14:16:00,14:25:00,207,FIRST FIVE MINUTES,ACCURATE,,2,,
1102,1989-06-23,MAZIWA,14:16:00,14:25:00,208,TOTAL BEFORE DEPART,ACCURATE,,2,,
1103,1989-06-23,MAZIWA,14:39:00,14:54:00,209,FIRST FIVE MINUTES,ACCURATE,,6,,
1103,1989-06-23,MAZIWA,14:39:00,14:54:00,210,TOTAL BEFORE DEPART,ESTIMATE,RANGE,,5,6
1105,1989-06-24,MAZIWA,13:01:00,13:06:00,211,FIRST FIVE MINUTES,ACCURATE,,5,,
1105,1989-06-24,MAZIWA,13:01:00,13:06:00,212,TOTAL BEFORE DEPART,ACCURATE,,5,,
1106,1989-06-24,MAZIWA,13:08:00,13:13:00,213,FIRST FIVE MINUTES,ACCURATE,,7,,
1106,1989-06-24,MAZIWA,13:08:00,13:13:00,214,TOTAL BEFORE DEPART,ACCURATE,,7,,
1111,1989-06-24,MAZIWA,17:32:59,17:40:00,215,FIRST FIVE MINUTES,ACCURATE,,4,,
1111,1989-06-24,MAZIWA,17:32:59,17:40:00,216,TOTAL BEFORE DEPART,ACCURATE,,4,,
1112,1989-06-24,MAZIWA,17:42:15,17:46:00,217,FIRST FIVE MINUTES,ACCURATE,,10,,
1112,1989-06-24,MAZIWA,17:42:15,17:46:00,218,TOTAL BEFORE DEPART,ACCURATE,,10,,
1113,1989-06-24,MAZIWA,17:53:00,17:58:00,219,FIRST FIVE MINUTES,ACCURATE,,1,,
1113,1989-06-24,MAZIWA,17:53:00,17:58:00,220,TOTAL BEFORE DEPART,ACCURATE,,1,,
1114,1989-06-25,MAZIWA,08:45:00,08:54:00,221,FIRST FIVE MINUTES,ACCURATE,,2,,
1114,1989-06-25,MAZIWA,08:45:00,08:54:00,222,TOTAL BEFORE DEPART,ACCURATE,,2,,
1117,1989-06-25,MAZIWA,11:37:00,11:45:00,46287,TOTAL BEFORE DEPART,ACCURATE,,3,,
1117,1989-06-25,MAZIWA,11:37:00,11:45:00,46288,FIRST FIVE MINUTES,ACCURATE,,3,,
1124,1989-06-26,MAZIWA,09:37:15,10:16:06,225,FIRST FIVE MINUTES,ACCURATE,,12,,
1124,1989-06-26,MAZIWA,09:37:15,10:16:06,226,TOTAL BEFORE DEPART,ACCURATE,,12,,
1125,1989-06-26,MAZIWA,10:30:00,10:45:50,227,FIRST FIVE MINUTES,ACCURATE,,7,,
1125,1989-06-26,MAZIWA,10:30:00,10:45:50,228,TOTAL BEFORE DEPART,ACCURATE,,7,,
1126,1989-06-26,MAZIWA,11:13:00,11:18:00,229,FIRST FIVE MINUTES,ACCURATE,,2,,
1126,1989-06-26,MAZIWA,11:13:00,11:18:00,230,TOTAL BEFORE DEPART,ACCURATE,,2,,
1127,1989-06-26,MAZIWA,11:34:29,11:58:00,231,FIRST FIVE MINUTES,ACCURATE,,8,,
1127,1989-06-26,MAZIWA,11:34:29,11:58:00,232,TOTAL BEFORE DEPART,ACCURATE,,8,,
1128,1989-06-26,MAZIWA,12:40:00,12:46:00,46289,TOTAL BEFORE DEPART,ACCURATE,,12,,
1128,1989-06-26,MAZIWA,12:40:00,12:46:00,46290,FIRST FIVE MINUTES,ACCURATE,,12,,
1133,1989-06-28,MAZIWA,08:45:03,08:51:00,235,FIRST FIVE MINUTES,ACCURATE,,5,,
1133,1989-06-28,MAZIWA,08:45:03,08:51:00,236,TOTAL BEFORE DEPART,ACCURATE,,5,,
1134,1989-06-28,MAZIWA,08:55:00,09:13:00,237,FIRST FIVE MINUTES,ACCURATE,,3,,
1134,1989-06-28,MAZIWA,08:55:00,09:13:00,238,TOTAL BEFORE DEPART,ACCURATE,,3,,
1137,1989-06-28,MAZIWA,15:05:00,15:10:00,239,FIRST FIVE MINUTES,ACCURATE,,5,,
1137,1989-06-28,MAZIWA,15:05:00,15:10:00,240,TOTAL BEFORE DEPART,ACCURATE,,5,,
1140,1989-07-07,MAZIWA,08:10:43,08:15:43,241,FIRST FIVE MINUTES,ACCURATE,,6,,
