Pair,ID1,ID2,IDPair,DyadML
148,JUP,PMN,JUP.PMN,0
149,JUP,TUS,JUP.TUS,0
150,JUP,RPC,JUP.RPC,0.0527
151,JUP,PSP,JUP.PSP,0
152,JUP,RLF,JUP.RLF,0
153,JUP,TAS,JUP.TAS,0
154,JUP,PLS,JUP.PLS,0.0144
155,JUP,HFT,JUP.HFT,0
156,JUP,KEE,JUP.KEE,0
157,JUP,DPL,JUP.DPL,0
158,JUP,PMT,JUP.PMT,0.1238
159,JUP,HYP,JUP.HYP,0
160,JUP,DCK,JUP.DCK,0
161,JUP,DOP,JUP.DOP,0.0117
162,JUP,UNK1518,JUP.UNK1518,0.0117
163,JUP,ACF,JUP.ACF,0.0081
164,JUP,PPP,JUP.PPP,0.2003
165,JUP,WAG,JUP.WAG,0.0016
166,JUP,FIA,JUP.FIA,0
167,JUP,MDH,JUP.MDH,0
168,JUP,VES,JUP.VES,0.0658
169,JUP,FNZ,JUP.FNZ,0
170,JUP,DKY,JUP.DKY,0.003
171,BIG,PTS,BIG.PTS,0
172,BIG,VRG,BIG.VRG,0
173,BIG,PBA,BIG.PBA,0.0079
174,BIG,SLO,BIG.SLO,0
175,BIG,SUP,BIG.SUP,0.002
176,BIG,GLM,BIG.GLM,0.0302
177,BIG,NAP,BIG.NAP,0.0401
178,BIG,EVN,BIG.EVN,0.0042
179,BIG,ORB,BIG.ORB,0.0025
180,BIG,MNK,BIG.MNK,0
181,BIG,SCT,BIG.SCT,0
182,BIG,RID,BIG.RID,0.006
183,BIG,POO,BIG.POO,0
184,BIG,BYP,BIG.BYP,0
185,BIG,JMY,BIG.JMY,0
186,BIG,PIK,BIG.PIK,0.0191
187,BIG,UVE,BIG.UVE,0.0173
188,BIG,TCH,BIG.TCH,0
189,BIG,CYR,BIG.CYR,0.0008
190,BIG,BNI,BIG.BNI,0.0482
191,BIG,CLI,BIG.CLI,0.0053
192,BIG,SKT,BIG.SKT,0
193,BIG,POL,BIG.POL,0.022
194,BIG,WOW,BIG.WOW,0.0619
195,BIG,RKT,BIG.RKT,0.0015
196,BIG,CRV,BIG.CRV,0
197,BIG,SCA,BIG.SCA,0.0179
198,BIG,PIM,BIG.PIM,0
199,BIG,GUA,BIG.GUA,0
200,BIG,WOP,BIG.WOP,0
201,BIG,RDC,BIG.RDC,0
202,BIG,MYS,BIG.MYS,0.0085
203,BIG,ZIP,BIG.ZIP,0
204,BIG,MOG,BIG.MOG,0
205,BIG,GEK,BIG.GEK,0.0113
206,BIG,WHO,BIG.WHO,0.0048
207,BIG,GBY,BIG.GBY,0.0067
208,BIG,ELW,BIG.ELW,0.0041
209,BIG,SQE,BIG.SQE,0.0358
210,BIG,NIN,BIG.NIN,0.0222
211,BIG,PSS,BIG.PSS,0.0272
212,BIG,CKL,BIG.CKL,0
213,BIG,NIC,BIG.NIC,0
214,BIG,CAD,BIG.CAD,0.0116
215,BIG,GHO,BIG.GHO,0.0406
216,BIG,MNG,BIG.MNG,0.0001
217,BIG,TOR,BIG.TOR,0.0031
218,BIG,ASN,BIG.ASN,0
219,BIG,IMP,BIG.IMP,0
220,BIG,LIP,BIG.LIP,0.0249
221,BIG,JUI,BIG.JUI,0
222,BIG,OLI,BIG.OLI,0
223,BIG,PIC,BIG.PIC,0.0035
224,BIG,NIR,BIG.NIR,0
225,BIG,TUK,BIG.TUK,0.0258
226,BIG,EPC,BIG.EPC,0.0488
227,BIG,WOF,BIG.WOF,0.0214
228,BIG,KIT,BIG.KIT,0
229,BIG,BCT,BIG.BCT,0
